"Codice","Tipologia Struttura","Denominazione Tipologia Struttura","Denominazione Stabilimento","Denominazione Struttura","Codice Struttura","Sub codice Stabilimento","Codice Azienda","Denominazione Azienda","Anno","Data Apertura Stabilimento","Data Chiusura Stabilimento","Partita IVA","Indirizzo Stabilimento","Codice Comune","Denominazione Comune","Codice Provincia","Denominazione Provincia","CAP Stabilimento","Prefisso telefonico Stabilimento","Telefono Stabilimento","Prefisso FAX (HSP11B)","Fax (HSP11B)","HSP E_MAIL","Website (HSP11B)"
"10109060201","HSP","STRUTTURA OSPEDALIERA","0SP. CIVILE DI CARRARA","Presidio Ospedaliero Zona  Apuana","090602","01","101","Az. USL 1 di Massa Carrara","2015",01/01/1988,,"00294690458","PIAZZA SACCO E VANZETTI","045003","Carrara","045","MASSA E CARRARA","54033","0585","7671",,,,
"10409024201","HSP","STRUTTURA OSPEDALIERA","ALMA VITA SRL","ALMA VITA SRL","090242","01","104","Az. USL 4 di Prato","2015",01/12/2013,31/12/9999,"02028680979","Via Eugenio Barsanti 24","100005","Prato","100","PRATO","59100","0574","548911",,,"info@istitutomedicotoscano.it",
"10509090901","HSP","STRUTTURA OSPEDALIERA","AUXILIUM VITAE VOLTERRA SPA","AUXILIUM VITAE VOLTERRA SPA","090909","01","105","Az. USL 5 di Pisa","2015",01/05/1999,31/12/9999,,"BORGO SAN LAZZARO, 5","050039","Volterra","050","PISA","56048","0588","81187",,,,
"90409090401","HSP","STRUTTURA OSPEDALIERA","AZIENDA OSPEDALIERA MEYER","AZIENDA OSPEDALIERA MEYER","090904","01","904","A.O. Meyer","2015",01/01/1995,31/12/9999,"02175680483","VIALE PIERACCINI 24","048017","Firenze","048","FIRENZE","50139","055","5662319","055","5662334","direzione.generale@meyer.it","www.meyer.it"
"90209090201","HSP","STRUTTURA OSPEDALIERA","AZIENDA OSPEDALIERA UNIVERSITARIA SENESE","AZIENDA OSPEDALIERA UNIVERSITARIA SENESE","090902","01","902","A.O. Senese","2015",01/01/1995,31/12/9999,"00388300527","V.LE BRACCI - LOC.LE SCOTTE","052032","Siena","052","SIENA","53100","0577","585111","0577","585061","dirgen@ao-siena.toscana.it","www.ao-siena.toscana.it"
"90109090101","HSP","STRUTTURA OSPEDALIERA","AZIENDA OSPEDALIERO-UNIVERSITARIA PISANA","AZIENDA OSPEDALIERO-UNIVERSITARIA PISANA","090901","01","901","A.O. Pisana","2015",01/01/1995,31/12/9999,"01310860505","via Roma 67","050026","Pisa","050","PISA","56126","050","992111","050","996296","segrdirgen@ao-pisa.toscana.it","http://www.ao-pisa.toscana.it"
"90309090301","HSP","STRUTTURA OSPEDALIERA","AZ. OSPEDALIERO - UNIVERSITARIA CAREGGI","AZ. OSPEDALIERO - UNIVERSITARIA CAREGGI","090903","01","903","A.O. Careggi","2015",01/01/1995,31/12/9999,"04612750481","Largo Brambilla, 3","048017","Firenze","048","FIRENZE","50134","055","7947111","055","7949961","aoc@aou-careggi.toscana.it","http://www.aou-careggi.toscana.it"
"11209020301","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA BARBANTINI","CASA DI CURA ""BARBANTINI""","090203","01","112","Az. USL 12 di Viareggio","2015",01/07/1994,31/12/9999,"01641520331","VIA FOSSO GUIDARIO LOC. BICCHIO","046033","Viareggio","046","LUCCA","55049","0584","396646","0584","395449","direzionegenerale@barbantinivg.it","."
"11009024001","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA FRATE SOLE","CASA DI CURA FRATE SOLE  SRL","090240","01","110","Az. USL 10 di Firenze","2015",01/04/1994,31/12/9999,"03897620484","VIA SAN ROMOLO","048052","Figline e Incisa Valdarno","048","FIRENZE","50063","055","915301","055","9153093","segreteria@casadicurafratesole.it","www.casadicurafratesole.it"
"11109023501","HSP","STRUTTURA OSPEDALIERA","CASA DI CURA LEONARDO","CASA DI CURA ""LEONARDO""","090235","01","111","Az. USL 11 di Empoli","2015",01/03/1963,31/12/9999,"01062010481","VIA PIETRO GROCCO 100 - SOVIGLIANA","048050","Vinci","048","FIRENZE","50059","0571","902322","0571","908322","amministrazione@casadicuraleonardo.com","WWW.USL11.TOSCANA.IT"
